,video_id,likeCount,replyCount,publishDate,textOriginal,authorDisplayName,authorChannelId,authorChannelUrl,PDate,PTime
0,X3paOmcrTjQ,44,4,2021-09-02T18:04:08Z,🔥Explore Our FREE Courses With Completion Certificate: https://www.youtube.com/watch?v=-caxhMlw_04,Simplilearn,UCsvqVGtbbyHaMoevxPAq9Fg,http://www.youtube.com/channel/UCsvqVGtbbyHaMoevxPAq9Fg,2021-09-02,18:04:08Z
1,X3paOmcrTjQ,1,0,2022-08-13T18:11:01Z,*This was NOT helpful at all! I have no idea what a Data Scientist is..and you assumed people like myself would know the terms you used or how it is applied in business scenarios. I came here to learn..but you created a video for people who already know the basics of data science and how it is applied..which means this was NOT a video for beginners. This doesn't make me want to watch any more of your videos since you did such a poor job here!* ☹👎,Nightbird,UCkzrrYMaT5O9s-76qvKRDxg,http://www.youtube.com/channel/UCkzrrYMaT5O9s-76qvKRDxg,2022-08-13,18:11:01Z
2,X3paOmcrTjQ,1,1,2022-08-11T18:25:04Z,I am thinking to take cse with data science in NSUT :)... btw thanks 😊,Sayan Mondal,UCtkuXL-WSFKYuvpWLa49bsg,http://www.youtube.com/channel/UCtkuXL-WSFKYuvpWLa49bsg,2022-08-11,18:25:04Z
3,X3paOmcrTjQ,0,1,2022-07-05T11:12:44Z,Is the salary monthly or annual?,aryan puri,UCHWEjQjQgPltdbTDVTO-qBA,http://www.youtube.com/channel/UCHWEjQjQgPltdbTDVTO-qBA,2022-07-05,11:12:44Z
4,X3paOmcrTjQ,1,1,2022-07-03T09:15:02Z,"Captions, please. Thank you in advance!",Slow Down Cooking,UCFTFCadazGjRtJwh4neDsCg,http://www.youtube.com/channel/UCFTFCadazGjRtJwh4neDsCg,2022-07-03,09:15:02Z
5,X3paOmcrTjQ,1,1,2022-06-23T16:08:18Z,I want to learn,Godwin Jackson,UCHnufviYb9EfonVMtfvzzYg,http://www.youtube.com/channel/UCHnufviYb9EfonVMtfvzzYg,2022-06-23,16:08:18Z
6,X3paOmcrTjQ,1,1,2022-06-14T16:08:00Z,Good job.,Độ Dollars,UCyDIRJ8v5SwVE3bYNKEH4SA,http://www.youtube.com/channel/UCyDIRJ8v5SwVE3bYNKEH4SA,2022-06-14,16:08:00Z
7,X3paOmcrTjQ,1,1,2022-05-24T16:12:12Z,"It's my dream to become a data scientist...
Thank for sharing this information ☺️",MIRL7,UCMgcsVXU4b_5xYLpAjjyuig,http://www.youtube.com/channel/UCMgcsVXU4b_5xYLpAjjyuig,2022-05-24,16:12:12Z
8,X3paOmcrTjQ,0,1,2022-05-16T03:44:30Z,i have no knowledge about coding or anything .is it safe to enter into this course ?,BI OS,UCu4JRmFqv_2AzukEk6uimow,http://www.youtube.com/channel/UCu4JRmFqv_2AzukEk6uimow,2022-05-16,03:44:30Z
9,X3paOmcrTjQ,1,1,2022-05-12T07:27:24Z,Analyze given data and give insights... Sounds common sense to me... But it's now called as data science... 😁,Shazia Asif,UC-BAATQDfHr5h4JmJUxBNBg,http://www.youtube.com/channel/UC-BAATQDfHr5h4JmJUxBNBg,2022-05-12,07:27:24Z
10,X3paOmcrTjQ,1,1,2022-04-10T09:00:59Z,I have completed b. Sc with maths am I eligible to do master in data science,Reetu Guliasatsany,UC5PEck7ld2_Oh-cdjXNtvEg,http://www.youtube.com/channel/UC5PEck7ld2_Oh-cdjXNtvEg,2022-04-10,09:00:59Z
11,X3paOmcrTjQ,1,1,2022-04-08T06:55:45Z,"Excellent video,  kudos to the creators... where can i persue and get certified?",Guganthan Andiappan,UCTLt9bF3ipmgCBL99KExTAQ,http://www.youtube.com/channel/UCTLt9bF3ipmgCBL99KExTAQ,2022-04-08,06:55:45Z
12,X3paOmcrTjQ,1,1,2022-04-05T06:29:14Z,t was a great overview of all the process,Himanshu Sura,UC_EH6919xVArdW_WxeS4KZQ,http://www.youtube.com/channel/UC_EH6919xVArdW_WxeS4KZQ,2022-04-05,06:29:14Z
13,X3paOmcrTjQ,0,1,2022-03-24T19:30:02Z,Finally a video that doesn't scare me to quit learning data science,Rex,UC4vaw-Gk6AMB5xUW8LX-Ngg,http://www.youtube.com/channel/UC4vaw-Gk6AMB5xUW8LX-Ngg,2022-03-24,19:30:02Z
14,X3paOmcrTjQ,1,1,2022-03-11T21:17:30Z,I feel like this is not good for beginners because there are so many technical terms I didn’t get. Maybe break it down a bit,Rosebella Thompson,UCnUCMzeYcyYoaGGmliRSwNw,http://www.youtube.com/channel/UCnUCMzeYcyYoaGGmliRSwNw,2022-03-11,21:17:30Z
15,X3paOmcrTjQ,0,0,2022-03-05T17:43:21Z,Haha Indians cant talk about anything without discussing money aspect,Manny Khan,UCYvek4ZumpFPJFEbxU4IWeA,http://www.youtube.com/channel/UCYvek4ZumpFPJFEbxU4IWeA,2022-03-05,17:43:21Z
16,X3paOmcrTjQ,1,2,2022-03-05T09:13:54Z,👏🏻👏🏻,Brenda Martinez,UChUj4KJLWz-7TWNqR69aSwQ,http://www.youtube.com/channel/UChUj4KJLWz-7TWNqR69aSwQ,2022-03-05,09:13:54Z
17,X3paOmcrTjQ,1,1,2022-03-05T07:15:11Z,Your video is very valuable to understand the Data Science. Awesome.,Mohammad Aamir Jahangir,UCpNtRb49OqIjMmLtpbSDdBA,http://www.youtube.com/channel/UCpNtRb49OqIjMmLtpbSDdBA,2022-03-05,07:15:11Z
18,X3paOmcrTjQ,1,1,2022-03-05T04:30:22Z,"nicely explaing, intresting video",amit shah,UCyb-Sixhv3hNvVlnuGPgavQ,http://www.youtube.com/channel/UCyb-Sixhv3hNvVlnuGPgavQ,2022-03-05,04:30:22Z
19,X3paOmcrTjQ,1,1,2022-02-13T09:40:36Z,"You're telling what exactly is Data Science, and you're beginning the video by saying watch this video if you're passionate about data science. How can someone be passionate about DS if they don't have idea about DS? Make a video so that people can relate and feel DS is the field they want to get into, this is something which makes them happy,.. etc",rakshith vrishabhendra,UCE9f8wJI6hJJVhuDB2XqOhQ,http://www.youtube.com/channel/UCE9f8wJI6hJJVhuDB2XqOhQ,2022-02-13,09:40:36Z
